shortname	gtrnadbid	species_long	query	class	family	genus	order	phylum	species	domain	txid	kingdom
Yers_ruck_YRB	yersRuck_YRB	Yersinia ruckeri YRB	Yersinia ruckeri	Gammaproteobacteria	Yersiniaceae	Yersinia	Enterobacterales	Proteobacteria	Yersinia ruckeri	Bacteria	29486	
Yers_simi_228	yersSimi_228	Yersinia similis 228	Yersinia similis	Gammaproteobacteria	Yersiniaceae	Yersinia	Enterobacterales	Proteobacteria	Yersinia similis	Bacteria	367190	
endo_of_unidentified_scaly_snail_isolate_Monju	endoOf_UNIDENTIFIED_SCALY_SNA	endosymbiont of unidentified scaly snail isolate Monju	endosymbiont of	NA	NA	NA	NA	NA	NA	NA	NA	NA
gamm_prot_HdN1	gammProt_HDN1	gamma proteobacterium HdN1	gamma proteobacterium	Gammaproteobacteria				Proteobacteria	Gammaproteobacteria bacterium	Bacteria	1913989	
seco_endo_of_Ctenarytaina_eucalypti	secoEndo_OF_CTENARYTAINA_EUCAL	secondary endosymbiont of Ctenarytaina eucalypti	secondary endosymbiont	NA	NA	NA	NA	NA	NA	NA	NA	NA
seco_endo_of_Heteropsylla_cubana	secoEndo_OF_HETEROPSYLLA_CUBAN	secondary endosymbiont of Heteropsylla cubana	secondary endosymbiont	NA	NA	NA	NA	NA	NA	NA	NA	NA
synt_Esch_coli_C321_deltaA	syntEsch_COLI_C321_DELTAA	synthetic Escherichia coli C321.deltaA	synthetic Escherichia	Gammaproteobacteria	Enterobacteriaceae	Escherichia	Enterobacterales	Proteobacteria		Bacteria	txid	
Borr_afze_HLJ01	borrAfze_HLJ01	Borrelia afzelii HLJ01	Borrelia afzelii	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella afzelii	Bacteria	29518	
Borr_afze_K78	borrAfze_K78	Borrelia afzelii K78	Borrelia afzelii	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella afzelii	Bacteria	29518	
Borr_afze_PKo	borrAfze_PKO	Borrelia afzelii PKo	Borrelia afzelii	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella afzelii	Bacteria	29518	
Borr_afze_Tom3107	borrAfze_TOM3107	Borrelia afzelii Tom3107	Borrelia afzelii	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella afzelii	Bacteria	29518	
Borr_biss_DN127	borrBiss_DN127	Borrelia bissettii DN127	Borrelia bissettii	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella bissettii	Bacteria	64897	
Borr_burg_B31_1	borrBurg_B31_1	Borrelia burgdorferi B31	Borrelia burgdorferi	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella burgdorferi	Bacteria	139	
Borr_burg_B31	borrBurg	Borrelia burgdorferi B31	Borrelia burgdorferi	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella burgdorferi	Bacteria	139	
Borr_burg_CA382	borrBurg_CA382	Borrelia burgdorferi CA382	Borrelia burgdorferi	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella burgdorferi	Bacteria	139	
Borr_burg_JD1	borrBurg_JD1	Borrelia burgdorferi JD1	Borrelia burgdorferi	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella burgdorferi	Bacteria	139	
Borr_burg_N40	borrBurg_N40	Borrelia burgdorferi N40	Borrelia burgdorferi	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella burgdorferi	Bacteria	139	
Borr_burg_ZS7	borrBurg_ZS7	Borrelia burgdorferi ZS7	Borrelia burgdorferi	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella burgdorferi	Bacteria	139	
Borr_chil_VA1	borrChil_VA1	Borrelia chilensis VA1	Borrelia chilensis	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella chilensis	Bacteria	1245910	
Borr_croc_Achema	borrCroc_ACHEMA	Borrelia crocidurae str. Achema	Borrelia crocidurae	Spirochaetia	Borreliaceae	Borrelia	Spirochaetales	Spirochaetes	Borrelia crocidurae	Bacteria	29520	
Borr_dutt_Ly	borrDutt_LY	Borrelia duttonii Ly	Borrelia duttonii	Spirochaetia	Borreliaceae	Borrelia	Spirochaetales	Spirochaetes	Borrelia duttonii	Bacteria	40834	
Borr_gari_BgVir	borrGari_BGVIR	Borrelia garinii BgVir	Borrelia garinii	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella garinii	Bacteria	29519	
Borr_gari_NMJW1	borrGari_NMJW1	Borrelia garinii NMJW1	Borrelia garinii	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella garinii	Bacteria	29519	
Borr_gari_PBi	borrGari_PBI	Borrelia garinii PBi	Borrelia garinii	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella garinii	Bacteria	29519	
Borr_gari_SZ	borrGari_SZ	Borrelia garinii SZ	Borrelia garinii	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella garinii	Bacteria	29519	
Borr_herm_CC1	borrHerm_CC1	Borrelia hermsii CC1	Borrelia hermsii	Spirochaetia	Borreliaceae	Borrelia	Spirochaetales	Spirochaetes	Borrelia hermsii	Bacteria	140	
Borr_miya_CT14D4	borrMiya_CT14D4	Borrelia miyamotoi CT14D4	Borrelia miyamotoi	Spirochaetia	Borreliaceae	Borrelia	Spirochaetales	Spirochaetes	Borrelia miyamotoi	Bacteria	47466	
Borr_miya_LB_2001	borrMiya_LB_2001	Borrelia miyamotoi LB-2001	Borrelia miyamotoi	Spirochaetia	Borreliaceae	Borrelia	Spirochaetales	Spirochaetes	Borrelia miyamotoi	Bacteria	47466	
Borr_park_HR1	borrPark_HR1	Borrelia parkeri HR1	Borrelia parkeri	Spirochaetia	Borreliaceae	Borrelia	Spirochaetales	Spirochaetes	Borrelia parkeri	Bacteria	141	
Borr_recu_A1	borrRecu_A1	Borrelia recurrentis A1	Borrelia recurrentis	Spirochaetia	Borreliaceae	Borrelia	Spirochaetales	Spirochaetes	Borrelia recurrentis	Bacteria	44449	
Borr_turi_91E135	borrTuri_91E135	Borrelia turicatae 91E135	Borrelia turicatae	Spirochaetia	Borreliaceae	Borrelia	Spirochaetales	Spirochaetes	Borrelia turicatae	Bacteria	142	
Borr_vala_Tom4006	borrVala_TOM4006	Borrelia valaisiana Tom4006	Borrelia valaisiana	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella valaisiana	Bacteria	62088	
Borr_vala_VS116	borrVala_VS116	Borrelia valaisiana VS116	Borrelia valaisiana	Spirochaetia	Borreliaceae	Borreliella	Spirochaetales	Spirochaetes	Borreliella valaisiana	Bacteria	62088	
Brac_hyod_WA1_ATCC_49526	bracHyod_WA1_ATCC49526	Brachyspira hyodysenteriae WA1 ATCC 49526	Brachyspira hyodysenteriae	Spirochaetia	Brachyspiraceae	Brachyspira	Brachyspirales	Spirochaetes	Brachyspira hyodysenteriae	Bacteria	159	
Brac_inte_PWS_A	bracInte_PWS_A	Brachyspira intermedia PWS/A	Brachyspira intermedia	Spirochaetia	Brachyspiraceae	Brachyspira	Brachyspirales	Spirochaetes	Brachyspira intermedia	Bacteria	84377	
Brac_murd_DSM_12563	bracMurd_DSM12563	Brachyspira murdochii DSM 12563	Brachyspira murdochii	Spirochaetia	Brachyspiraceae	Brachyspira	Brachyspirales	Spirochaetes	Brachyspira murdochii	Bacteria	84378	
Brac_pilo_95_1000	bracPilo_95_1000	Brachyspira pilosicoli 95/1000	Brachyspira pilosicoli	Spirochaetia	Brachyspiraceae	Brachyspira	Brachyspirales	Spirochaetes	Brachyspira pilosicoli	Bacteria	52584	
Brac_pilo_B2904	bracPilo_B2904	Brachyspira pilosicoli B2904	Brachyspira pilosicoli	Spirochaetia	Brachyspiraceae	Brachyspira	Brachyspirales	Spirochaetes	Brachyspira pilosicoli	Bacteria	52584	
Brac_pilo_P43_6_78	bracPilo_P43_6_78	Brachyspira pilosicoli P43/6/78	Brachyspira pilosicoli	Spirochaetia	Brachyspiraceae	Brachyspira	Brachyspirales	Spirochaetes	Brachyspira pilosicoli	Bacteria	52584	
Brac_pilo_WesB	bracPilo_WESB	Brachyspira pilosicoli WesB	Brachyspira pilosicoli	Spirochaetia	Brachyspiraceae	Brachyspira	Brachyspirales	Spirochaetes	Brachyspira pilosicoli	Bacteria	52584	
Lept_bifl_serovar_Patoc_strain_Patoc_1_Ames	leptBifl_PATOC_STRAIN_PATOC_1	Leptospira biflexa serovar Patoc strain Patoc 1 Ames	Leptospira biflexa	Spirochaetia	Leptospiraceae	Leptospira		Spirochaetes	Leptospira biflexa	Bacteria	172	
Lept_bifl_serovar_Patoc_strain_Patoc_1_Paris	leptBifl_PATOC_STRAIN_PATOC_1_1	Leptospira biflexa serovar Patoc strain Patoc 1 Paris	Leptospira biflexa	Spirochaetia	Leptospiraceae	Leptospira		Spirochaetes	Leptospira biflexa	Bacteria	172	
